Longitude,Latitude
19.93556057,50.03084304
20.03290614,50.04216017
20.0449432,50.09350319
19.72877823,50.0241963
19.89067388,50.11525959
19.80753789,49.93780785
19.99665887,49.94445599
20.13794628,49.91289433
20.12579351,49.91558337
19.83600638,49.98231346
20.11367527,49.93609601
19.70635973,49.93065859
19.71126627,49.97201291
19.7893371,49.96823573
20.11172548,49.92838775
20.19510405,49.97258542
19.76988267,50.09033132
20.05446748,50.12007484
19.88138697,49.87983996
20.00252691,50.19905681
19.92807975,49.92471308
19.7944536,50.09006883
20.07108496,50.17254935
20.17430721,50.03843435
20.05920884,50.0004646
20.01397651,50.142789
19.83308944,50.10700479
19.95370724,49.91557976
19.90655612,49.93935045
19.89421991,49.94137331
19.97529836,50.09518135
19.71581066,49.98941651
19.70786108,49.96863935
19.73710444,49.95630269
19.97844284,50.19209434
19.82112387,50.11232649
19.76866114,50.09477414
19.7432979,50.11803506
20.10856948,50.1239482
19.90005334,49.95699669
19.92941816,49.95682919
19.83376392,50.11738964
19.99555622,50.19184442
19.95832988,50.10011333
19.79095522,49.96072347
20.06836727,50.03553951
20.12225586,50.01283921
20.0246998,49.98479425
19.91173135,49.90973986
19.90119702,50.05108082
19.96187854,50.01434623
20.03844114,49.89823989
19.68082465,50.00411033
19.9745525,49.97438347
20.00209628,49.89185002
19.9026431,50.02398103
20.18158512,50.09687324
20.03542393,50.02170553
19.94726105,49.99750527
